number_of_violations,grade,facility_zip,STATE,poverty_percent,AirQuality,WaterPollution
11,B,90041,CA,11.0,36.62162162,61.29943503
9,A,90041,CA,11.0,36.62162162,61.29943503
4,A,90041,CA,11.0,36.62162162,61.29943503
10,A,90032,CA,11.0,36.62162162,61.29943503
10,A,90032,CA,11.0,36.62162162,61.29943503
14,A,90032,CA,11.0,36.62162162,61.29943503
24,B,90032,CA,11.0,36.62162162,61.29943503
24,B,90032,CA,11.0,36.62162162,61.29943503
8,A,90032,CA,11.0,36.62162162,61.29943503
9,A,90011,CA,11.0,36.62162162,61.29943503
6,A,90011,CA,11.0,36.62162162,61.29943503
5,A,90011,CA,11.0,36.62162162,61.29943503
14,B,90011,CA,11.0,36.62162162,61.29943503
15,B,90011,CA,11.0,36.62162162,61.29943503
7,A,90011,CA,11.0,36.62162162,61.29943503
6,A,90011,CA,11.0,36.62162162,61.29943503
7,A,90064,CA,11.0,36.62162162,61.29943503
4,A,90064,CA,11.0,36.62162162,61.29943503
4,A,90064,CA,11.0,36.62162162,61.29943503
8,A,90064,CA,11.0,36.62162162,61.29943503
5,A,90064,CA,11.0,36.62162162,61.29943503
5,A,90064,CA,11.0,36.62162162,61.29943503
4,A,90068,CA,11.0,36.62162162,61.29943503
3,A,90068,CA,11.0,36.62162162,61.29943503
5,A,90068,CA,11.0,36.62162162,61.29943503
6,A,90068,CA,11.0,36.62162162,61.29943503
4,A,90068,CA,11.0,36.62162162,61.29943503
8,A,90026,CA,11.0,36.62162162,61.29943503
12,A,90026,CA,11.0,36.62162162,61.29943503
14,A,90026,CA,11.0,36.62162162,61.29943503
10,A,90026,CA,11.0,36.62162162,61.29943503
8,A,90026,CA,11.0,36.62162162,61.29943503
3,A,90007,CA,11.0,36.62162162,61.29943503
5,A,90007,CA,11.0,36.62162162,61.29943503
3,A,90007,CA,11.0,36.62162162,61.29943503
3,A,90007,CA,11.0,36.62162162,61.29943503
2,A,90007,CA,11.0,36.62162162,61.29943503
2,A,90007,CA,11.0,36.62162162,61.29943503
3,A,90007,CA,11.0,36.62162162,61.29943503
4,A,90007,CA,11.0,36.62162162,61.29943503
12,A,90046,CA,11.0,36.62162162,61.29943503
18,B,90046,CA,11.0,36.62162162,61.29943503
12,A,90046,CA,11.0,36.62162162,61.29943503
14,A,90046,CA,11.0,36.62162162,61.29943503
10,A,90046,CA,11.0,36.62162162,61.29943503
12,A,90046,CA,11.0,36.62162162,61.29943503
14,A,90046,CA,11.0,36.62162162,61.29943503
12,A,90046,CA,11.0,36.62162162,61.29943503
1,A,90011,CA,11.0,36.62162162,61.29943503
5,A,90011,CA,11.0,36.62162162,61.29943503
5,A,90011,CA,11.0,36.62162162,61.29943503
1,A,90011,CA,11.0,36.62162162,61.29943503
2,A,90011,CA,11.0,36.62162162,61.29943503
3,A,90011,CA,11.0,36.62162162,61.29943503
6,A,90010,CA,11.0,36.62162162,61.29943503
8,A,90010,CA,11.0,36.62162162,61.29943503
14,A,90010,CA,11.0,36.62162162,61.29943503
10,A,90010,CA,11.0,36.62162162,61.29943503
10,A,90010,CA,11.0,36.62162162,61.29943503
10,A,90010,CA,11.0,36.62162162,61.29943503
10,A,90010,CA,11.0,36.62162162,61.29943503
5,A,90010,CA,11.0,36.62162162,61.29943503
4,A,90010,CA,11.0,36.62162162,61.29943503
