City,Region,Country,AirQuality,WaterPollution,ZIP_Start,ZIP_End
Aliso Viejo,CA,United States of America,100.0,75.0,92656,92698
Youngstown,NY,United States of America,75.0,58.33333333,14174,14174
Rocklin,CA,United States of America,100.0,0.0,95677,95765
Marina,CA,United States of America,100.0,50.0,90292,93933
Foster City,CA,United States of America,100.0,0.0,,
Mesquite,NV,United States of America,100.0,0.0,89024,89034
Watertown,NY,United States of America,62.5,37.5,13601,13603
Hempstead,NY,United States of America,100.0,50.0,11549,11552
Smithtown,NY,United States of America,100.0,50.0,11745,11787
Islip,NY,United States of America,75.0,25.0,11722,11795
Lakeport,CA,United States of America,100.0,50.0,95453,95453
Jackson,CA,United States of America,100.0,50.0,95642,95642
Yreka,CA,United States of America,100.0,50.0,96097,96097
Carlisle,NY,United States of America,100.0,50.0,12031,12031
New Windsor,NY,United States of America,100.0,50.0,12553,12553
Taylor,NY,United States of America,87.5,50.0,,
New Paltz,NY,United States of America,100.0,50.0,12561,12561
Webster,NY,United States of America,0.0,50.0,14580,14584
Germantown,NY,United States of America,100.0,0.0,12526,12526
Bath,NY,United States of America,100.0,50.0,14810,14810
Dickinson,NY,United States of America,100.0,50.0,12930,12930
Gainesville,NY,United States of America,100.0,25.0,14066,14066
